"farm_id","index1","block_id","Datatime","rad","temp","date"
229,56,56,2019-08-02 13:45:00,702,34.2,2019-08-02
229,57,57,2019-08-02 14:00:00,464,34.2,2019-08-02
229,58,58,2019-08-02 14:15:00,415,34.2,2019-08-02
229,59,59,2019-08-02 14:30:00,502,33.5,2019-08-02
229,60,60,2019-08-02 14:45:00,536,33.4,2019-08-02
229,61,61,2019-08-02 15:00:00,564,33.4,2019-08-02
229,62,62,2019-08-02 15:15:00,539,33.3,2019-08-02
229,63,63,2019-08-02 15:30:00,518,34,2019-08-02
229,64,64,2019-08-02 15:45:00,445,33.9,2019-08-02
229,65,65,2019-08-02 16:00:00,429,33.8,2019-08-02
229,66,66,2019-08-02 16:15:00,415,33.6,2019-08-02
229,67,67,2019-08-02 16:30:00,407,33.5,2019-08-02
229,68,68,2019-08-02 16:45:00,374,33.4,2019-08-02
229,69,69,2019-08-02 17:00:00,338,33,2019-08-02
229,70,70,2019-08-02 17:15:00,292,32.8,2019-08-02
229,71,71,2019-08-02 17:30:00,226,33,2019-08-02
229,72,72,2019-08-02 17:45:00,188,32.8,2019-08-02
229,73,73,2019-08-02 18:00:00,154,32.7,2019-08-02
229,74,74,2019-08-02 18:15:00,118,32.6,2019-08-02
229,75,75,2019-08-02 18:30:00,91,32.1,2019-08-02
229,76,76,2019-08-02 18:45:00,58,31.9,2019-08-02
229,77,77,2019-08-02 19:00:00,30,31.7,2019-08-02
229,78,78,2019-08-02 19:15:00,10,31.5,2019-08-02
229,79,79,2019-08-02 19:30:00,0,31.3,2019-08-02
229,80,80,2019-08-02 19:45:00,0,31,2019-08-02
229,81,81,2019-08-02 20:00:00,0,30.8,2019-08-02
229,82,82,2019-08-02 20:15:00,0,30.6,2019-08-02
229,83,83,2019-08-02 20:30:00,0,30.3,2019-08-02
229,84,84,2019-08-02 20:45:00,0,30,2019-08-02
229,85,85,2019-08-02 21:00:00,0,29.8,2019-08-02
229,86,86,2019-08-02 21:15:00,0,29.6,2019-08-02
229,87,87,2019-08-02 21:30:00,0,29.3,2019-08-02
229,88,88,2019-08-02 21:45:00,0,29,2019-08-02
229,89,89,2019-08-02 22:00:00,0,28.8,2019-08-02
229,90,90,2019-08-02 22:15:00,0,28.6,2019-08-02
229,91,91,2019-08-02 22:30:00,0,28.3,2019-08-02
229,92,92,2019-08-02 22:45:00,0,28.1,2019-08-02
229,93,93,2019-08-02 23:00:00,0,28,2019-08-02
229,94,94,2019-08-02 23:15:00,0,27.8,2019-08-02
229,95,95,2019-08-02 23:30:00,0,27.6,2019-08-02
229,96,96,2019-08-02 23:45:00,0,27.6,2019-08-02
229,1,1,2019-08-03 00:00:00,0,27.5,2019-08-03
229,2,2,2019-08-03 00:15:00,0,27.4,2019-08-03
229,3,3,2019-08-03 00:30:00,0,27.4,2019-08-03
229,4,4,2019-08-03 00:45:00,0,27.4,2019-08-03
229,5,5,2019-08-03 01:00:00,0,27.4,2019-08-03
229,6,6,2019-08-03 01:15:00,0,27.38,2019-08-03
229,7,7,2019-08-03 01:30:00,0,27.36,2019-08-03
229,8,8,2019-08-03 01:45:00,0,27.34,2019-08-03
229,9,9,2019-08-03 02:00:00,0,27.32,2019-08-03
229,10,10,2019-08-03 02:15:00,0,27.3,2019-08-03
229,11,11,2019-08-03 02:30:00,0,27.28,2019-08-03
229,12,12,2019-08-03 02:45:00,0,27.26,2019-08-03
229,13,13,2019-08-03 03:00:00,0,27.24,2019-08-03
229,14,14,2019-08-03 03:15:00,0,27.22,2019-08-03
229,15,15,2019-08-03 03:30:00,0,27.2,2019-08-03
229,16,16,2019-08-03 03:45:00,0,27.18,2019-08-03
229,17,17,2019-08-03 04:00:00,0,27.16,2019-08-03
229,18,18,2019-08-03 04:15:00,0,27.14,2019-08-03
229,19,19,2019-08-03 04:30:00,0,27.12,2019-08-03
229,20,20,2019-08-03 04:45:00,0,27.1,2019-08-03
229,21,21,2019-08-03 05:00:00,0,27,2019-08-03
229,22,22,2019-08-03 05:15:00,0,27,2019-08-03
229,23,23,2019-08-03 05:30:00,0,27,2019-08-03
229,24,24,2019-08-03 05:45:00,0,27,2019-08-03
229,25,25,2019-08-03 06:00:00,0,27,2019-08-03
229,26,26,2019-08-03 06:15:00,28,27.1,2019-08-03
229,27,27,2019-08-03 06:30:00,57,27.5,2019-08-03
229,28,28,2019-08-03 06:45:00,95,27.6,2019-08-03
229,29,29,2019-08-03 07:00:00,143,27.7,2019-08-03
229,30,30,2019-08-03 07:15:00,190,27.8,2019-08-03
229,31,31,2019-08-03 07:30:00,239,28.1,2019-08-03
229,32,32,2019-08-03 07:45:00,151,28.3,2019-08-03
229,33,33,2019-08-03 08:00:00,182,28.4,2019-08-03
229,34,34,2019-08-03 08:15:00,231,28.6,2019-08-03
229,35,35,2019-08-03 08:30:00,305,28.6,2019-08-03
229,36,36,2019-08-03 08:45:00,292,28.9,2019-08-03
229,37,37,2019-08-03 09:00:00,286,29.2,2019-08-03
229,38,38,2019-08-03 09:15:00,336,29.6,2019-08-03
229,39,39,2019-08-03 09:30:00,376,29.9,2019-08-03
229,40,40,2019-08-03 09:45:00,394,30.2,2019-08-03
229,41,41,2019-08-03 10:00:00,455,30.4,2019-08-03
229,42,42,2019-08-03 10:15:00,535,30.7,2019-08-03
229,43,43,2019-08-03 10:30:00,593,31,2019-08-03
229,44,44,2019-08-03 10:45:00,678,31.3,2019-08-03
229,45,45,2019-08-03 11:00:00,727,31.3,2019-08-03
229,46,46,2019-08-03 11:15:00,729,31.6,2019-08-03
229,47,47,2019-08-03 11:30:00,717,31.3,2019-08-03
229,48,48,2019-08-03 11:45:00,710,31.5,2019-08-03
229,49,49,2019-08-03 12:00:00,720,31.6,2019-08-03
229,50,50,2019-08-03 12:15:00,747,31.8,2019-08-03
229,51,51,2019-08-03 12:30:00,731,32,2019-08-03
229,52,52,2019-08-03 12:45:00,721,32.1,2019-08-03
229,53,53,2019-08-03 13:00:00,679,33.2,2019-08-03
229,54,54,2019-08-03 13:15:00,654,33.4,2019-08-03
229,55,55,2019-08-03 13:30:00,637,33.4,2019-08-03
229,56,56,2019-08-03 13:45:00,579,33.5,2019-08-03
229,57,57,2019-08-03 14:00:00,501,33.6,2019-08-03
229,58,58,2019-08-03 14:15:00,470,33.7,2019-08-03
229,59,59,2019-08-03 14:30:00,456,34,2019-08-03
229,60,60,2019-08-03 14:45:00,449,33.9,2019-08-03
229,61,61,2019-08-03 15:00:00,489,33.8,2019-08-03
229,62,62,2019-08-03 15:15:00,522,33.6,2019-08-03
229,63,63,2019-08-03 15:30:00,525,33.8,2019-08-03
229,64,64,2019-08-03 15:45:00,544,33.7,2019-08-03
229,65,65,2019-08-03 16:00:00,454,33.6,2019-08-03
229,66,66,2019-08-03 16:15:00,329,33.5,2019-08-03
229,67,67,2019-08-03 16:30:00,245,33.4,2019-08-03
229,68,68,2019-08-03 16:45:00,176,33.3,2019-08-03
229,69,69,2019-08-03 17:00:00,108,33.2,2019-08-03
229,70,70,2019-08-03 17:15:00,110,33.1,2019-08-03
229,71,71,2019-08-03 17:30:00,131,33,2019-08-03
229,72,72,2019-08-03 17:45:00,117,32.9,2019-08-03
229,73,73,2019-08-03 18:00:00,101,32.8,2019-08-03
229,74,74,2019-08-03 18:15:00,71,32.8,2019-08-03
229,75,75,2019-08-03 18:30:00,57,32.6,2019-08-03
229,76,76,2019-08-03 18:45:00,37,32.4,2019-08-03
229,77,77,2019-08-03 19:00:00,20,32.1,2019-08-03
229,78,78,2019-08-03 19:15:00,7,31.8,2019-08-03
229,79,79,2019-08-03 19:30:00,0,31.8,2019-08-03
229,80,80,2019-08-03 19:45:00,0,31.6,2019-08-03
229,81,81,2019-08-03 20:00:00,0,31.3,2019-08-03
229,82,82,2019-08-03 20:15:00,0,31,2019-08-03
229,83,83,2019-08-03 20:30:00,0,30.8,2019-08-03
229,84,84,2019-08-03 20:45:00,0,30.6,2019-08-03
229,85,85,2019-08-03 21:00:00,0,30.4,2019-08-03
229,86,86,2019-08-03 21:15:00,0,30.2,2019-08-03
229,87,87,2019-08-03 21:30:00,0,30,2019-08-03
229,88,88,2019-08-03 21:45:00,0,29.8,2019-08-03
229,89,89,2019-08-03 22:00:00,0,29.5,2019-08-03
229,90,90,2019-08-03 22:15:00,0,29.2,2019-08-03
229,91,91,2019-08-03 22:30:00,0,29,2019-08-03
